SENTENCE	SLANG_TERM
I really do n't fucking wan na know why I should n't .	wanna
I remember in the youth team , he used to have Eric Harrison banging on the door at him , calling him all the names in the world for playing stupid Hollywood passes , and he kept doing it .	hollywood passes
Not gon na finish there , are you ?	gonna
You just got ta hold it , okay ?	gotta
It 's funny how we ended up being neighbors again .	feet
Oi , mate , make yourself useful .	oi
And I want ' em both to have a life .	'em
I was your college roommate .	roommate
What would you bet on ?	bet
They 'll keep him in County awaiting sentencing .	county
Ainsworth , I 'll see you around , man .	around
To see if they can rub my pancreas out of my neck .	pancreas
Two regulars , one with cheese .	regulars
My brother does n't need you to teach him how to hit !	hit
Dude , we 're going right through Nevada .	dude
I stand here naked before you .	naked
You should not set limits in my home .	wolves
A dirty mind 's a terrible thing to waste , Clairee .	dirty
For sure she was shooting smack .	smack
That 's why you 're here , innit ?	innit
You look nice in civvies , Terrence .	civvies
I swear , you 're gon na love this place .	gonna
If you knew you were getting dropped , I just did n't answer the door .	dropped
That 's an impressive set of guns ( arms ) you have there you must be handy in a brawl .	guns
Go Latimer Station , do a left through the alley then bell me .	bell me
- Better than all right , mate .	mate
You will be pulled from this shitty little shack you call a research facility so fast that the only thing relevant to be shown for any of this is the way it 's all exposed , wrecked , and forgotten .	shack
'Cause of that , we 're all going to need gats .	gats
- See , you 're just like me , man .	man
People are gon na need this product , and we can only make so much at a time .	gonna
It just seemed like the magic dust literally had been sprayed all over the city .	magic dust
♪ Baby , you would sleep much better ♪	baby
Any chance of you getting audited this week ?	audited
Erm , I did n't dare breathe in front of him .	erm
Yeah , well , a lot can happen in one night , ca n't it ?	yeah
Oh , man , I ought to smack you silly , boy .	smack you silly
And I think that somehow through chemistry or magic or voodoo ... that Jamaican son of a bitch , he tuned in to it , into hell itself .	son of a bitch
Do you wan na fetch her back ?	wanna
He 's just an old , lonely prick , and I want to get out of there before I end up anything like him .	lonely prick
I 've never seen anyone look that fucking sick !	sick
You bell me , say you want to talk about something important , and now you 're sitting having a chitchat ?	chitchat
Do I look like a ponce to you , Eddie ?	ponce
What if the jury buys it ?	buys it
I was just freaking out or something in the mountains .	freaking out
I 'm not trying to slag off your mother .	slag
I 'm not going jail for no one to call me Abigail , call me some next man 's chick .	chick
Best seats in the house .	best seats in the house
They 'd be dead scared to look up .	dead scared
Okay , Heidi , can we please not talk about your kids today ?	kids
Um , and -- and we 're not together .	together
No , no , no , I 'll only miss one test .	fly
He told me he had never been more proud of anyone than he was of his lil ' bro .	lil' bro
♪ One fine day , I 'm gon na leave this town ♪	gonna
You killed me , you son of a bitch !	son of a bitch
First you bring food , and then you wan na spend the night , and then you bring a change of clothes , and then you bring a razor and , oh , my God , it 's a relationship .	wanna
I 'm rolling with the Black Dick .	rolling with
And I 'll slide in and then I 'll walk you round . ''	slide
I got three little kids .	kids
The Atlanta Braves have the next pick and they are now on the clock .	on the clock
You got a problem with that , take it up with Calitri .	take it up
At dinner times , you just knew when you 've had your dinner , that 's it , the second-years were gon na absolutely try and abuse you .	abuse you
Biaggio , your corn pudding is to die for .	to die for
Does this strike a chord ?	strike a chord
Play some pool with the guys , and then just see what happens .	see what happens
So do n't disappoint me , yeah ?	yeah
Do you want to know who she was ?	head out of your ass
Sir , you have an urgent call .	urgent
And they still say it 's impossible to get to the bottom of this .	bottom
You do n't have to give me all of them .	gracious plenty
And I know you 're gon na say that that sounds really mean and that I should just look on the bright side and try really hard .	gonna
Do you wan na join us ?	wanna
But keep you on a leash , ah ?	dog
I 'm just gon na say it .	gonna
I dunked my head in that pond in the park .	dunked
And nobody say one word about these glasses .	say one word
It means that once you get bailed out , what 's to stop you from taking another shot ?	bailed out
Accepted etiquette is one rep at a time .	rep
Yeah , I know , but this shit ca n't happen between us , all right ?	shit
Not a lot of people would have the balls to say all that .	have the balls
Your Uncle Walter is a group leader in W Division .	w
It 's just thousands of theses sit in a library gathering dust .	gathering dust
`` Wee Captain Tam McLintoch of the Edinburgh Militia	wee captain
All right , I want you , man .	man
Shit , I 'm gon na remember that shit .	shit
I do n't expect the guys will be back next week , then ?	guys
We want you to head up a covert Home Office inquiry into the Ripper investigation .	ripper
Come on babe , you 're just standing here	babe
It was a good couple of weeks that he was talking in a Scouse accent .	scouse
When a man grows old and his balls grow cold , and the tip of his prick turns blue when it bends in the middle like a one-stringed fiddle , he can tell us a tale or two .	balls
Jody crossed my last nerve .	crossed
Look , I will pay front money for the room , proper wedge .	wedge
Raymond Calitri is going down for murder one , boneheads .	boneheads
You barely know her , man .	man
Oh , yeah , but she did that for years .	yeah
We got some great tunes .	tunes
I remember sitting on a caravan step just crying , just like , erm , what can you do ?	erm
Will you give me some credit ?	credit
We wait for George to turn up with the ram-van .	turn up
I 'm a , uh ... friend of Don 's .	uh
For a clientele who really appreciate and understand that music , yeah ?	yeah
Talk to her mate Valerie .	mate
♪ And I 'm tied up in your wake ♪	tied up in your wake
She married about 48 hours .	bitch
Man , what kind of pervert gets their jollies off playing with dog shit ?	jollies
It 's , er , supper soon , Rog .	er
We gon na go in the living room and fuck with the PlayStation real quick .	real quick
Everybody , find your happy place :	happy place
Then tie a noose in it and slip it over your head .	then tie a noose in it and slip it over your head
Look , where the hell is my dog ?	where the hell
I do n't believe this shit .	shit
Do you have a problem with the call ?	have a problem
I do n't know if this matters ;	kind
- Hurted me more than it hurted you .	hurted
- What you talkin ' about , you mug ?	mug
I only have one photograph and it 's ancient .	ancient
`` Bare ruin 'd choirs , where late the sweet birds sang . ''	ruin'd
I put this practise together and I made you all filthy stinking rich .	filthy stinking
Yo , man , know where I can find JTRO ?	yo
They got any leads on that ?	leads
What are you giving her porno for , Meggy ?	porno
His lawyer gave me pocket money for the week !	pocket money
So , what , you 're gon na let me stay here ?	gonna
Otherwise I 'm gon na chop you to bits , my son .	gonna
From some offshore fund no one needs to know about .	fusion
My head is a bit foggy , and I am not sleeping a lot .	foggy
You smell like a tart 's window box , Steve !	tart
I threw in a backdoor Trojan so we can see what he 's doing with it .	backdoor trojan
Offering to hold the kid for just a minute , and he ends up in that tree over there .	kid
You look snap , L Dub .	snap
He blanked me , you know .	blanked
AT LEAST THE TABLOIDS WO N'T SNIFF YOU OUT UP HERE .	sweetie
I 'm talking about the mob guy who ratted him out .	ratted him out
What happened with all that money , eh ?	eh
Yeah , so ... so you were saying 700 for the.38 ?	yeah
You do n't happen to know whose dog this is , do you ?	no
I reread A Hunger Artist on your suggestion and stole a couple things .	stole
Eric if you are in on all of this I have taken it in , and	in on all of this
I 'm sure I 'll be able to pull it off , and I 'm sure it 'll be a laugh .	pull it off
We were just scared that the perfect person was n't out there for us .	scared
They 'll just dump the cars .	dup
I do n't play favorites , but you 're my favorite .	play favorites
I believe my time is up .	time is up
Details are sketchy , but here 's what we know .	sketchy
She was a McGovern Democrat but incredibly snobbish .	snobbish
Boy , if this was the real world ...	real world
- More than just a piece of meat .	piece of meat
And he gives me the face .	face
I got a mark-up booked , innit .	innit
If you 're gon na disappear , you 've got ta do it quickly .	gonna
It 's a good job he 's a mate of yours .	mate
And massively about my dad taking me to United as a kid .	dad
